,3251
state/country: brazil; county: n/a; town/area: stagg; mine/site: champion,1
state/country: connecticut; county: new haven; town/area: derby; mine/site: n/a,1
state/country: new mexico; county: lincoln; town/area: n/a; mine/site: n/a,1
state/country: south africa; county: n/a; town/area: griqualand west; mine/site: n/a,1
state/country: wyoming; county: albany; town/area: laramie mtns.; mine/site: n/a,1
state/country: california; county: inyo; town/area: coso; mine/site: glass mtn.,1
"state/country: new mexico; county: potero; town/area: alamagordo; mine/site: white sands proving ground, trinity site",1
state/country: wisconsin; county: sank; town/area: spring green; mine/site: n/a,1
state/country: arizona; county: navajo; town/area: meteor crater; mine/site: canyon diablo,1
state/country: arizona; county: coconino; town/area: meteor crater; mine/site: canyon diablo,1
state/country: california; county: plumas; town/area: portola; mine/site: n/a,1
state/country: italy; county: tuscany; town/area: liverno; mine/site: fortullino,1
state/country: mexico; county: chihuahua; town/area: la junta; mine/site: n/a,1
state/country: california; county: lake; town/area: ukiah; mine/site: manhattan,1
state/country: brazil; county: minas gerias; town/area: coronel murta; mine/site: n/a,1
state/country: utah; county: tooelle; town/area: dugway; mine/site: n/a,1
state/country: texas; county: fayette; town/area: n/a; mine/site: n/a,1
state/country: nevada; county: humboldt; town/area: virgin valley; mine/site: peacock,1
state/country: australia; county: new south wales; town/area: lightning ridge; mine/site: mccondra claim,1
state/country: california; county: napa; town/area: n/a; mine/site: n/a,1
state/country: north carolina; county: mitchell; town/area: spruce pine; mine/site: n/a,1
state/country: connecticut; county: middlesex; town/area: portland; mine/site: case quarries,1
state/country: california; county: kern; town/area: adalanto; mine/site: princess pat,1
state/country: idaho; county: madison; town/area: spencer; mine/site: spencer opal,1
state/country: arizona; county: yavapai; town/area: prescott; mine/site: n/a,1
state/country: california; county: napa; town/area: n/a; mine/site: manhattan,1
state/country: nevada; county: humboldt; town/area: virgin valley; mine/site: n/a,1
state/country: oregon; county: grant; town/area: john day river; mine/site: middle fork,1
state/country: california; county: marin; town/area: novato; mine/site: n/a,1
state/country: bolivia; county: bustillos; town/area: potosi; mine/site: liallagua,1
state/country: australia; county: tasmania; town/area: n/a; mine/site: oakleigh creek,1
state/country: brazil; county: minas gerias; town/area: virgen da lapa; mine/site: n/a,1
state/country: mexico; county: durango; town/area: mapimi; mine/site: ojeula,1
state/country: brazil; county: bahia; town/area: ititiara; mine/site: n/a,1
state/country: brazil ; county: minas gerias; town/area: aracuari ; mine/site: n/a,1
state/country: california; county: inyo; town/area: lone pine; mine/site: n/a,1
state/country: morocco; county: n/a; town/area: imini; mine/site: n/a,1
state/country: california; county: alameda; town/area: livermore; mine/site: n/a,1
state/country: michigan; county: baraga; town/area: alberta; mine/site: taylor,1
state/country: california; county: imperial; town/area: palo verde; mine/site: n/a,1
state/country: wisconsin; county: n/a; town/area: montreal; mine/site: iron mines,1
state/country: norway; county: oslo; town/area: asker; mine/site: n/a,1
state/country: colorado; county: boulder; town/area: nederland; mine/site: n/a,1
state/country: bolivia; county: potosi dept.; town/area: n/a; mine/site: n/a,1
state/country: idaho; county: lemhi; town/area: blue wing; mine/site: inca,1
state/country: peru; county: ancash department; town/area: pallasca province; mine/site: pasto bueno district,1
"state/country: peru; county: ancash department; town/area: pallasca province; mine/site: pasto bueno district, huayllapon mine",1
"state/country: peru; county: la liberdad department; town/area: santiago de chuco province; mine/site: cachicadan district, mundo nuevo mine",1
state/country: peru; county: northern peru; town/area: n/a; mine/site: n/a,1
state/country: australia; county: new south wales; town/area: n/a; mine/site: n/a,1
state/country: brazil; county: minas gerias; town/area: governador valaderes; mine/site: ipe,1
state/country: south dakota; county: n/a; town/area: black hills; mine/site: n/a,1
state/country: wisconsin; county: florence; town/area: n/a; mine/site: pine river pegmatite,1
state/country: norway; county: langesundfjord; town/area: tjollinng; mine/site: stalaker,1
state/country: mozambique; county: quelimane; town/area: murra; mine/site: n/a,1
state/country: montana; county: gallatin; town/area: bozeman; mine/site: n/a,1
state/country: utah; county: piute; town/area: marysville; mine/site: bullion monarch,1
state/country: nevada; county: nye; town/area: gabbs; mine/site: n/a,1
state/country: south africa; county: n/a; town/area: n/a; mine/site: n'chwaning ii mine,1
state/country: sweden; county: nordmark; town/area: mossgruvan; mine/site: n/a,1
state/country: sarawak; county: n/a; town/area: n/a; mine/site: n/a,1
state/country: gabon; county: moanda; town/area: n/a; mine/site: n/a,1
state/country: germany; county: harz mts.; town/area: ilfeld; mine/site: n/a,1
state/country: nevada; county: mineral; town/area: thorne; mine/site: donally,1
state/country: connecticut; county: litchfield; town/area: goshen; mine/site: n/a,1
state/country: michigan; county: baraga; town/area: l'anse; mine/site: n/a,1
state/country: michigan; county: marquette; town/area: negaunee; mine/site: jubillee iga parking lot,1
state/country: utah; county: washington; town/area: n/a; mine/site: n/a,1
state/country: north carolina; county: mecklenburg; town/area: charlotte; mine/site: n/a,1
state/country: oregon; county: douglas; town/area: riddle; mine/site: nickel mtn.,1
state/country: arizona; county: apache; town/area: north east sector; mine/site: n/a,1
state/country: japan; county: kyushu; town/area: oita ken; mine/site: kuratomi,1
state/country: japan; county: kyushu; town/area: tsukumi shi; mine/site: kuratomi,1
state/country: germany; county: sauerland; town/area: dornberg; mine/site: ramsbeck,1
state/country: nevada; county: eureka; town/area: fish; mine/site: vabm,1
state/country: colorado; county: san miguel; town/area: bull pen canyon; mine/site: n/a,1
state/country: nevada; county: eureka; town/area: fish creek range; mine/site: vannarsan claim,1
state/country: colorado; county: san miguel; town/area: telluride; mine/site: n/a,1
state/country: new mexico; county: socorro; town/area: magdelena; mine/site: juanita,1
state/country: russia; county: krebet sikote alin; town/area: dalnegorskoe; mine/site: n/a,1
state/country: bermuda; county: n/a; town/area: hamilton parish; mine/site: castle harbor sound,1
state/country: mexico; county: chihuahua; town/area: n/a; mine/site: los boquitos canyon,1
state/country: arizona; county: cochise; town/area: bisbee; mine/site: queen,1
state/country: mexico; county: durango; town/area: n/a; mine/site: n/a,1
state/country: utah; county: piute; town/area: tushar mts.; mine/site: n/a,1
state/country: new jersey; county: passaic; town/area: great notch; mine/site: great notch traprock quarry,1
state/country: oregon; county: yambill; town/area: mcmillville; mine/site: gopher valley quarry,1
state/country: california; county: n/a; town/area: adalanto; mine/site: princess pat,1
state/country: utah; county: box elder; town/area: great salt lake; mine/site: north shore,1
state/country: california; county: los angeles; town/area: n/a; mine/site: latigo canyon,1
state/country: arizona; county: yuma; town/area: n/a; mine/site: hull,1
state/country: arizona; county: la paz; town/area: n/a; mine/site: pure potential,1
state/country: utah; county: kane; town/area: orderville; mine/site: n/a,1
state/country: mexico; county: baja california; town/area: n/a; mine/site: n/a,1
state/country: kentucky; county: crittenden; town/area: n/a; mine/site: n/a,1
state/country: maryland; county: carroll; town/area: n/a; mine/site: medford quarry,1
state/country: indiana; county: n/a; town/area: seymore; mine/site: n/a,1
state/country: pennsylvania; county: n/a; town/area: harrisburg; mine/site: n/a,1
state/country: wyoming; county: n/a; town/area: farson; mine/site: blue forest,1
state/country: oregon; county: yamhill; town/area: mcmillville; mine/site: gopher valley quarry,1
state/country: indiana; county: n/a; town/area: reddington; mine/site: n/a,1
state/country: colorado; county: ouray; town/area: ouray; mine/site: idarado,1
state/country: arkansas; county: washington; town/area: fayetteville; mine/site: n/a,1
state/country: new york; county: erie; town/area: cheektowaga; mine/site: federal crushed stone,1
state/country: england; county: sussex; town/area: plumbton ; mine/site: n/a,1
state/country: ohio; county: sandusky; town/area: woodville; mine/site: n/a,1
state/country: nevada; county: nye; town/area: beatty; mine/site: daisy,1
state/country: australia; county: tasmania; town/area: southern tasmania; mine/site: lune river,1
state/country: canada; county: northwest territory; town/area: great slave lake; mine/site: pine point,1
state/country: mexico; county: coahuila; town/area: san vicente; mine/site: n/a,1
state/country: norway; county: n/a; town/area: langesund fjord; mine/site: n/a,1
state/country: michigan; county: eaton; town/area: bellevue; mine/site: cheney,1
state/country: michigan; county: dickinson; town/area: felch; mine/site: felch marcasite locality,1
state/country: wisconsin; county: racine; town/area: racine; mine/site: vulcan quarry,1
state/country: wisconsin; county: n/a; town/area: valders; mine/site: valders quarry,1
state/country: mexico; county: san luis potosi; town/area: characas; mine/site: n/a,1
state/country: indiana; county: jackson; town/area: seymore; mine/site: n/a,1
state/country: zaire; county: n/a; town/area: likasu; mine/site: n/a,1
state/country: zaire; county: shaba; town/area: n/a; mine/site: kakanda mine,1
state/country: romania; county: n/a; town/area: berja; mine/site: n/a,1
state/country: michigan; county: iron; town/area: n/a; mine/site: iron river,1
state/country: missouri; county: n/a; town/area: n/a; mine/site: n/a,1
state/country: england; county: bedfordshire; town/area: barton; mine/site: barton lime co.,1
state/country: russia; county: kirgizia; town/area: khaldarkan; mine/site: n/a,1
state/country: texas; county: upton; town/area: mcgamry; mine/site: n/a,1
state/country: michigan; county: houghton; town/area: n/a; mine/site: globe,1
state/country: california; county: san bernardino; town/area: barstow syncline; mine/site: n/a,1
state/country: california; county: santa clara; town/area: n/a; mine/site: west vaco,1
state/country: montana; county: silver bow; town/area: butte; mine/site: emma,1
state/country: colorado; county: park; town/area: alma; mine/site: sweet home,1
state/country: colorado; county: hinsdale; town/area: lake city; mine/site: champion,1
state/country: colorado; county: lake; town/area: climax; mine/site: climax,1
state/country: colorado; county: ouray; town/area: ouray; mine/site: grizzly bear,1
state/country: argentina; county: catamarca; town/area: capillitas; mine/site: n/a,1
state/country: california; county: los angeles; town/area: san gabriel mtns.; mine/site: pacoima canyon,1
state/country: switzerland; county: n/a; town/area: binnental; mine/site: lengenbach,1
state/country: california; county: calaveras; town/area: n/a; mine/site: carson hill,1
state/country: california; county: los angeles; town/area: catalina isi.; mine/site: black jack,1
state/country: california; county: san bernardino; town/area: wrightwood; mine/site: n/a,1
state/country: michigan; county: marquette; town/area: near marquette; mine/site: lindberg quarry,1
state/country: new mexico; county: de baca; town/area: yeso; mine/site: n/a,1
state/country: new mexico; county: guadelupe; town/area: santa rosa; mine/site: n/a,1
state/country: czechoslovakia ?; county: cechy (bohemia); town/area: n/a; mine/site: n/a,1
state/country: namibia; county: n/a; town/area: rosh pina; mine/site: n/a,1
state/country: bulgaria; county: n/a; town/area: near sophia; mine/site: kremikovcy quarry,1
state/country: montana; county: hill; town/area: rocky boy; mine/site: big sandy creek,1
state/country: czech republic; county: n/a; town/area: koksin; mine/site: n/a,1
state/country: california; county: san benito; town/area: atlas mtns; mine/site: n/a,1
state/country: russia; county: khatanga; town/area: n/a; mine/site: n/a,1
state/country: arizona; county: pima; town/area: tucson; mine/site: santa rita mtn.,1
state/country: california; county: riverside; town/area: n/a; mine/site: n/a,1
state/country: wyoming; county: washakie; town/area: worland; mine/site: n/a,1
state/country: pennsylvania; county: n/a; town/area: bossardsville; mine/site: imbt quarry,1
state/country: colorado; county: jefferson; town/area: golden; mine/site: clear creek canyon,1
state/country: italy; county: sicily; town/area: agrigento; mine/site: n/a,1
state/country: utah; county: n/a; town/area: promontory mts.; mine/site: n/a,1
state/country: california; county: ventura; town/area: latigo canyon; mine/site: n/a,1
state/country: arizona; county: santa cruz; town/area: santa rita mtns.; mine/site: n/a,1
state/country: georgia; county: bartow; town/area: cartersville; mine/site: lodd quarry,1
state/country: michigan; county: marquette; town/area: champion; mine/site: closed roadcut us hwy 41 west,1
state/country: california; county: santa clara; town/area: stanford hills; mine/site: n/a,1
state/country: italy; county: tuscany; town/area: n/a; mine/site: minera di boccheggiano,1
state/country: indiana; county: harrison; town/area: corydon; mine/site: corydon crushed rock,1
state/country: california; county: riverside; town/area: jurupa. mtns.; mine/site: crestmore,1
state/country: arizona; county: santa cruz; town/area: amado; mine/site: glove,1
state/country: italy; county: sardinia; town/area: n/a; mine/site: n/a,1
"state/country: colorado; county: lake; town/area: leadville; mine/site: black cloud, 325 stope, 1100 foot level",1
state/country: morocco; county: mibladen; town/area: n/a; mine/site: n/a,1
state/country: california; county: san bernardino; town/area: barstow; mine/site: n/a,1
state/country: california; county: san bernardino; town/area: borate; mine/site: n/a,1
state/country: pennsylvania; county: n/a; town/area: winfield; mine/site: winfield quarry,1
state/country: illinois; county: rosiclare; town/area: cave-in-rock; mine/site: n/a,1
state/country: england; county: durham; town/area: n/a; mine/site: south moor colliery,1
state/country: sweden; county: varmland; town/area: filipstad.; mine/site: langban,1
state/country: england; county: cumberland; town/area: alston; mine/site: blaygill,1
state/country: wyorning; county: n/a; town/area: westvaco; mine/site: fmc,1
state/country: utah; county: washington; town/area: st.george; mine/site: apex,1
state/country: zaire; county: shaba; town/area: kolwezi; mine/site: musonoi ext.,1
"state/country: michigan; county: keeweenaw; town/area: cape marias harbor, lake superior; mine/site: 250# copper boulder under 40' water",1
state/country: china; county: jiangxi province; town/area: n/a; mine/site: n/a,1
state/country: zaire; county: shaba; town/area: kolwezi; mine/site: n/a,1
state/country: california; county: san bernardino; town/area: n/a; mine/site: n/a,1
state/country: michigan; county: keeweenaw; town/area: bumbletown hill; mine/site: allouez,1
state/country: michigan; county: ontonagon; town/area: n/a; mine/site: belt,1
state/country: utah; county: washington; town/area: st. george; mine/site: apex,1
state/country: germany; county: sauerland; town/area: ramsbeck; mine/site: alexander,1
state/country: new mexico; county: socorro; town/area: magdalena; mine/site: n/a,1
state/country: tennessee; county: claiborne; town/area: norris lake; mine/site: lead mine,1
"state/country: michigan; county: marquette; town/area: n/a; mine/site: approx. 8 mi nw of ishpeming, mpc claim",1
state/country: algeria; county: n/a; town/area: tenes; mine/site: n/a,1
state/country: france; county: drume; town/area: condorcet; mine/site: n/a,1
state/country: montana; county: mineral; town/area: n/a; mine/site: snowbird,1
state/country: inner mongolia; county: baotou; town/area: huango river; mine/site: bayan obo,1
state/country: england; county: somerset; town/area: mendip hills; mine/site: shepton mallet,1
state/country: california; county: san bernardino; town/area: near baker; mine/site: hard luck,1
state/country: arizona; county: maricopa; town/area: route 238; mine/site: 25 miles west of maricopa,1
"state/country: japan; county: saga prefecture; town/area: higashi-matsuura-gun; mine/site: hizen-cho, kirigo",1
state/country: california; county: san benito; town/area: coalinga; mine/site: near dallas gem,1
state/country: california; county: san benito; town/area: san benito; mine/site: n/a,1
state/country: maryland; county: montgomery; town/area: rockville; mine/site: hunting hill quarry,1
state/country: california; county: san benito; town/area: n/a; mine/site: 1.5 miles w of san benito mtn.,1
state/country: california; county: san benito; town/area: n/a; mine/site: kcac open pit,1
state/country: new caledonia; county: n/a; town/area: n/a; mine/site: n/a,1
state/country: australia; county: tasmania; town/area: heazlewood; mine/site: lord brassey,1
state/country: nevada; county: nye; town/area: gabbs; mine/site: premier,1
state/country: england; county: yorkshire; town/area: scarborough; mine/site: south bay,1
state/country: belgium; county: n/a; town/area: n/a; mine/site: onneaux,1
"state/country: canada; county: quebec; town/area: montreal, st. michel; mine/site: francon quarry",1
state/country: norway; county: n/a; town/area: swarum; mine/site: n/a,1
state/country: south africa; county: transvaal; town/area: n/a; mine/site: palabora open pit,1
state/country: australia; county: tasmania; town/area: n/a; mine/site: tunnel hill,1
state/country: montana; county: rivali; town/area: n/a; mine/site: dark star,1
state/country: france; county: jura; town/area: baume; mine/site: n/a,1
state/country: spain; county: catalonia; town/area: n/a; mine/site: n/a,1
state/country: brazil; county: n/a; town/area: urucum; mine/site: n/a,1
state/country: italy; county: tuscany; town/area: lagoons of tuscany; mine/site: sasso valley,1
state/country: japan; county: iwata; town/area: miyako; mine/site: n/a,1
state/country: norway; county: langesundfjord; town/area: tveidalen; mine/site: n/a,1
state/country: namibia; county: n/a; town/area: swakopmund; mine/site: n/a,1
state/country: italy; county: campania; town/area: nocera; mine/site: n/a,1
"state/country: italy; county: piedmont; town/area: torino, canavese district; mine/site: brosso mine, near ivera",1
state/country: south africa; county: cape province; town/area: n/a; mine/site: black rock,1
"state/country: new jersey; county: sussex; town/area: ogdensberg; mine/site: n ore body 2350' level, sterling hill",1
state/country: kazakhstan; county: n/a; town/area: inder lake; mine/site: n/a,1
state/country: kazakhstan; county: n/a; town/area: lake inder; mine/site: n/a,1
state/country: california; county: kern; town/area: boron; mine/site: new pit,1
state/country: california; county: kern; town/area: bron; mine/site: new pit,1
state/country: california; county: inyo; town/area: death valley; mine/site: mt. blanco,1
state/country: california; county: inyo; town/area: death valley; mine/site: thompson,1
state/country: california; county: los angeles; town/area: n/a; mine/site: tick canyon,1
state/country: california; county: inyo; town/area: death valley; mine/site: billie,1
state/country: california; county: los angeles; town/area: tick canyon; mine/site: lang station,1
"state/country: california; county: kern; town/area: boron; mine/site: extension 5, boron open pit",1
state/country: germany; county: saxony; town/area: strassfurt ; mine/site: n/a,1
state/country: louisiana; county: plaquemines parish; town/area: n/a; mine/site: venice salt dome,1
state/country: germany; county: hanover; town/area: n/a; mine/site: n/a,1
state/country: bolivia; county: n/a; town/area: cochabamba; mine/site: alto chapare,1
state/country: madagascar; county: south of antsirabe; town/area: near sahanyvotry; mine/site: tsilaisna,1
state/country: california; county: imperial; town/area: salton sea; mine/site: bertram siding,1
state/country: england; county: cumberland; town/area: penrith; mine/site: n/a,1
state/country: mexico; county: chihuahua; town/area: naca; mine/site: n/a,1
state/country: michigan; county: houghton; town/area: houghton; mine/site: isle royale #5,1
state/country: mexico; county: durango; town/area: gomez palacio; mine/site: n/a,1
state/country: russia; county: turkmenia; town/area: beineu-kyr; mine/site: n/a,1
state/country: madagascar; county: n/a; town/area: bombetoka bay; mine/site: sakoony,1
state/country: poland; county: n/a; town/area: tarnebreg; mine/site: machow,1
state/country: michigan; county: newport; town/area: berlin township; mine/site: holloway quarry,1
state/country: oklahoma; county: cache; town/area: n/a; mine/site: n/a,1
state/country: california; county: plumas; town/area: lake almanor; mine/site: n/a,1
state/country: colorado; county: weld; town/area: stoneham; mine/site: n/a,1
state/country: colorado; county: weld; town/area: sterling; mine/site: n/a,1
state/country: texas; county: n/a; town/area: n/a; mine/site: n/a,1
state/country: illinois; county: hardin; town/area: n/a; mine/site: n/a,1
state/country: connecticut; county: hartford; town/area: new britain; mine/site: central connecticut community college,1
"state/country: new jersey; county: sussex; town/area: ogdensburg; mine/site: edison tunnel, sterling hill",1
state/country: arizona; county: pinal; town/area: ray; mine/site: hercules,1
state/country: colorado; county: lake; town/area: leadville; mine/site: sherman tunnels,1
state/country: wisconsin; county: iron; town/area: montreal ; mine/site: montreal,1
state/country: wisconsin; county: douglas; town/area: n/a; mine/site: mabel nelson quarry,1
state/country: oklahoma; county: cleveland; town/area: norman; mine/site: n/a,1
state/country: morocco; county: n/a; town/area: near oujda; mine/site: touissit,1
state/country: california; county: madera; town/area: raymond; mine/site: n/a,1
state/country: california; county: san bernardino; town/area: stagg; mine/site: roosevelt,1
state/country: california; county: san bernardino; town/area: baker; mine/site: hard luck,1
state/country: nevada; county: n/a; town/area: weeks; mine/site: old soldier,1
state/country: utah; county: plute; town/area: marysville; mine/site: tunnel extension,1
state/country: italy; county: toscana; town/area: pereta; mine/site: n/a,1
state/country: nevada; county: pershing; town/area: arabia; mine/site: n/a,1
state/country: arizona; county: la paz; town/area: quartzite; mine/site: n/a,1
state/country: utah; county: beaver; town/area: frisco; mine/site: horn silver,1
state/country: new zealand; county: n/a; town/area: te aroba; mine/site: twi,1
state/country: australia; county: tasmania; town/area: n/a; mine/site: sylvester,1
state/country: utah; county: san juan; town/area: n/a; mine/site: markey,1
state/country: nevada; county: mineral; town/area: n/a; mine/site: pilot mtn.,1
state/country: canada; county: british columbia; town/area: ashcroft; mine/site: basque lakes,1
state/country: chile; county: n/a; town/area: alcaparrosa; mine/site: n/a,1
state/country: mexico; county: baja california; town/area: san felipe; mine/site: n/a,1
state/country: spain; county: n/a; town/area: teruel; mine/site: n/a,1
state/country: romania; county: n/a; town/area: felsobanya; mine/site: n/a,1
state/country: bolivia; county: n/a; town/area: disierto; mine/site: n/a,1
state/country: germany; county: saxony; town/area: n/a; mine/site: strassfurt,1
state/country: california; county: san luis obispo; town/area: n/a; mine/site: soda lake,1
state/country: new mexico; county: eddy; town/area: carlsbad; mine/site: 8 miles northeast,1
state/country: france; county: n/a; town/area: paris; mine/site: lagny district,1
state/country: michigan; county: iron; town/area: crystal falls; mine/site: bristol iron,1
"state/country: michigan; county: dickinson; town/area: felch; mine/site: kimberlite, site 69",1
state/country: italy; county: n/a; town/area: voltara; mine/site: n/a,1
state/country: new mexico; county: socorro; town/area: n/a; mine/site: n/a,1
state/country: arizona; county: n/a; town/area: punkin center; mine/site: n/a,1
state/country: utah; county: n/a; town/area: pine valley; mine/site: n/a,1
state/country: california; county: san bernardino; town/area: calico mts. ; mine/site: mule canyon,1
state/country: north dakota; county: cass; town/area: fargo; mine/site: red river valley,1
state/country: arizona; county: cochise; town/area: benson; mine/site: n/a,1
state/country: canada; county: manitoba; town/area: winnepeg; mine/site: red river floodway,1
state/country: austria; county: astfeld; town/area: juliushutte; mine/site: n/a,1
state/country: michigan; county: marquette; town/area: n/a; mine/site: captain daniels mine,1
state/country: italy; county: genoa; town/area: sestri levante; mine/site: libiola,1
state/country: austria; county: n/a; town/area: strodnerleg; mine/site: n/a,1
state/country: utah; county: washington; town/area: st. george; mine/site: n/a,1
state/country: chile; county: antofagasta; town/area: quetena; mine/site: n/a,1
state/country: france; county: gard; town/area: alais; mine/site: n/a,1
state/country: england; county: sussex; town/area: newhaven; mine/site: n/a,1
state/country: kansas; county: crawford; town/area: n/a; mine/site: n/a,1
state/country: chile; county: antofagasta; town/area: chuquicamata; mine/site: n/a,1
state/country: czechoslovakia; county: n/a; town/area: herrengrund; mine/site: n/a,1
state/country: germany; county: harz; town/area: astfeld; mine/site: juliushutte,1
state/country: south africa; county: n/a; town/area: kruman; mine/site: wessels,1
state/country: south africa; county: cape province; town/area: n/a; mine/site: norwanning,1
state/country: new mexico; county: cibola; town/area: n/a; mine/site: n/a,1
state/country: russia; county: ural mtns.; town/area: bereson; mine/site: n/a,1
state/country: nevada; county: mineral; town/area: mina; mine/site: n/a,1
state/country: arizona; county: n/a; town/area: n/a; mine/site: crown king,1
state/country: arizona; county: gila; town/area: globe; mine/site: n/a,1
state/country: utah; county: tooelle; town/area: n/a; mine/site: rustler,1
state/country: chile; county: n/a; town/area: tierra amarilla; mine/site: n/a,1
state/country: india; county: n/a; town/area: n/a; mine/site: jalgoan mines,1
state/country: arizona; county: yavapai; town/area: n/a; mine/site: st. louis claim,1
state/country: michigan; county: marquette; town/area: ishpeming; mine/site: michigan gold mine east,1
state/country: california; county: nevada; town/area: grass valley; mine/site: standard,1
state/country: california; county: los angeles; town/area: san gabriel mtns.; mine/site: n/a,1
state/country: nevada; county: n/a; town/area: n/a; mine/site: n/a,1
state/country: arizona; county: pima; town/area: tucson; mine/site: catalina mts.,1
state/country: connecticut; county: fairfield; town/area: trumbull; mine/site: long hill tungsten,1
state/country: colorado; county: ouray; town/area: ouray; mine/site: east camp bird,1
"state/country: california; county: san bernardino; town/area: adalanto; mine/site: princess pat, aka tungsten quarry",1
state/country: california; county: san bernardino; town/area: adalanto; mine/site: princess pat,1
state/country: connecticut; county: fairfield; town/area: trumbull; mine/site: n/a,1
state/country: china; county: n/a; town/area: sichuan; mine/site: n/a,1
state/country: china; county: hunan; town/area: sichuan; mine/site: n/a,1
"state/country: california; county: los angeles; town/area: n/a; mine/site: mt. baldy, south face, 8,000 ft. altitude",1
state/country: canada; county: ontario; town/area: timmons; mine/site: hollinger,1
state/country: new zealand; county: otago; town/area: lake wakatitu; mine/site: glenorchy,1
"state/country: colorado; county: ouray; town/area: ouray; mine/site: camp bird, k.s. 5 level",1
state/country: california; county: inyo; town/area: n/a; mine/site: pine creek mine,1
"state/country: michigan; county: marquette; town/area: ishpeming; mine/site: #6 shaft, michigan gold mine",1
state/country: california; county: inyo; town/area: cerro gordo; mine/site: cerro gordo,1
state/country: malaysia; county: perak; town/area: n/a; mine/site: kramat pulai,1
state/country: arizona; county: cochise; town/area: n/a; mine/site: reef,1
state/country: arizona; county: yuma; town/area: theba; mine/site: rawle,1
state/country: oregon; county: n/a; town/area: n/a; mine/site: n/a,1
state/country: chile; county: atacama; town/area: carrera pinto; mine/site: san samuel mine,1
state/country: chile; county: atacama; town/area: tierra amarilla; mine/site: n/a,1
state/country: idaho; county: lemhi; town/area: n/a; mine/site: n/a,1
state/country: finland; county: erajarui; town/area: vitaniemi; mine/site: n/a,1
state/country: namibia; county: kleinspitzkoppe; town/area: usakos; mine/site: n/a,1
state/country: canada; county: saskatchewan; town/area: n/a; mine/site: n/a,1
state/country: sweden; county: n/a; town/area: stockholm; mine/site: norro pegmatite,1
state/country: sweden; county: vasternorrlands; town/area: berg; mine/site: n/a,1
state/country: south dakota; county: custer; town/area: custer; mine/site: tip top,1
state/country: gabon; county: n/a; town/area: mounana; mine/site: n/a,1
state/country: wyoming; county: carbon; town/area: encampment; mine/site: uranium king,1
state/country: idaho; county: adams; town/area: n/a; mine/site: n/a,1
state/country: finland; county: erajanii; town/area: vittaniemi; mine/site: n/a,1
state/country: brazil; county: minas gerias; town/area: virgem da lapa; mine/site: zonja,1
state/country: brazil; county: minas gerias; town/area: virgem da lapa; mine/site: n/a,1
state/country: south dakota; county: custer; town/area: custer; mine/site: tine mtn.,1
state/country: zambia; county: n/a; town/area: broken hill; mine/site: n/a,1
state/country: utah; county: tooele; town/area: gold hill; mine/site: gold hill,1
state/country: nevada; county: lyon; town/area: yerington; mine/site: mason pass,1
state/country: congo; county: katanga; town/area: kolwezi; mine/site: kov pit,1
state/country: slovakia; county: n/a; town/area: libethen; mine/site: reiner gallery,1
state/country: zaire; county: shaba; town/area: n/a; mine/site: kamina,1
state/country: zaire; county: shaba; town/area: likasi; mine/site: n/a,1
state/country: oregon; county: jackson; town/area: jacksonville; mine/site: n/a,1
state/country: south dakota; county: custer; town/area: n/a; mine/site: victory,1
state/country: alabama; county: coosa county; town/area: n/a; mine/site: williams prospect,1
state/country: california; county: mono; town/area: white mts.; mine/site: champion,1
state/country: brazil; county: minas gerias; town/area: governador valadares; mine/site: galilea,1
state/country: brazil; county: minas gerias; town/area: teofilo otani; mine/site: n/a,1
state/country: connecticut; county: fairfield; town/area: branchville; mine/site: n/a,1
state/country: brazil; county: minas gerias; town/area: linopolis; mine/site: divino das laranjeiras,1
state/country: california; county: marin; town/area: near sausalito; mine/site: n/a,1
state/country: portugal; county: n/a; town/area: folyosinho; mine/site: n/a,1
state/country: sweden; county: langban; town/area: n/a; mine/site: n/a,1
state/country: nevada; county: lyon; town/area: yerington; mine/site: douglas hill,1
"state/country: michigan; county: keweenaw; town/area: n/a; mine/site: manganese, verified via xrd",1
state/country: utah; county: juab; town/area: n/a; mine/site: n/a,1
state/country: arizona; county: pinal; town/area: n/a; mine/site: table mountain,1
state/country: california; county: san bernardino; town/area: goffs; mine/site: van king,1
state/country: wales; county: n/a; town/area: glamougan; mine/site: ty coch,1
state/country: mexico; county: sonora; town/area: n/a; mine/site: benjamin hill,1
state/country: north carolina; county: yancey; town/area: n/a; mine/site: n/a,1
state/country: arizona; county: yavapai; town/area: wickenburg; mine/site: midnight owl mine,1
state/country: russia; county: kola peninsula; town/area: lovosero massif; mine/site: alluaive mt.,1
state/country: arizona; county: yavapai; town/area: white picacho district; mine/site: n/a,1
state/country: canada; county: ontario; town/area: wilberforre; mine/site: county road #4,1
state/country: new york; county: n/a; town/area: pticairn; mine/site: curtis farm,1
state/country: north carolina; county: mitchell; town/area: spruce pine district; mine/site: chalk mtn.,1
state/country: russia; county: irukutsk oblast; town/area: slyudyanka; mine/site: n/a,1
state/country: madagascar; county: n/a; town/area: andranondambo; mine/site: n/a,1
state/country: maine; county: oxford; town/area: greenwood; mine/site: tamminen's quarry,1
state/country: maine; county: auburn; town/area: buckfield; mine/site: bennett,1
state/country: north carolina; county: yancey; town/area: burnesville; mine/site: roy,1
state/country: sweden; county: n/a; town/area: langban; mine/site: n/a,1
